CEV7,3000,75,ASP,10,28,53.373,53.3692,-112.703,-112.691,,,117,297,,,1,,,,,,,
CEW3,3500,100,ASP,08,26,53.9936,53.9928,-111.388,-111.372,,,95,275,,,1,,,,,,,
CEX3,3876,100,ASP,12,30,52.9692,52.9619,-113.419,-113.406,2508,2497,134,314,,358,1,,,,,,,
CEY3,3000,75,ASP,06,24,49.6989,49.7011,-113.423,-113.411,,,74,254,,,1,,,,,,,
CEZ4,3000,100,ASP,08,26,58.4044,58.4036,-115.959,-115.943,,,96,276,,,1,,,,,,,
CFB6,4560,100,ASP,08,26,53.7281,53.7264,-113.093,-113.079,,,102,282,394,247,1,,,,,,,
CFD4,3000,75,ASP,05,23,49.4814,49.4847,-111.5,-111.489,,,66,246,,,1,,,,,,,
CFF7,5036,120,GRS,11,29,52.8375,52.8292,-110.909,-110.891,2159,2160,128,308,980,,0,,,,,,,
CFG3,3000,75,ASP,13,31,52.0203,52.0131,-110.753,-110.747,,,150,330,,,1,,,,,,,
CFH4,4885,75,ASP,15,33,45.8739,45.8661,-63.4689,-63.4534,52,62,126,306,,,0,,,,,,,
CFL2,3500,75,ASP,02,20,50.6786,50.6864,-110.046,-110.037,,,36,216,,,0,,,,,,,
CFN7,1968,75,GVL,05,23,51.7753,51.7769,-114.683,-114.675,,,72,252,,,0,,,,,,,
CFN7,4285,75,ASP,14,32,51.7822,51.7714,-114.679,-114.672,,,157,337,300,212,1,,,,,,,
CFP7,7349,82,ASP,12,30,52.8361,52.825,-111.113,-111.089,,,127.6,307.6,,,1,,,,,,,
CFS5,3000,75,ASP,06,24,55.7833,55.7836,-118.847,-118.832,2044,2044,88,268,,,1,,,,,,,
CFS6,5900,100,ASP,13,31,57.1491,57.1348,-115.082,-115.069,,,153,333,900,,0,,,,,,,
CFT8,3872,75,ASP,07,25,56.1609,56.1608,-113.483,-113.464,2021,2059,90.6,270.6,,,1,,,,,,,
CFT9,4300,50,ASP,12,30,59.0661,59.0569,-118.895,-118.881,1242,1225,143,323,223,223,1,,,,,,,
CFX2,3025,50,ASP,16,34,50.7394,50.7312,-113.934,-113.933,,,178,358,,,1,,,,,,,
CFX4,5577,100,ASP,07,25,56.9508,56.9508,-117.658,-117.63,1612,1577,90,270,,,1,,,,,,,
CJA3,3937,75,ASP,10,28,49.2117,49.2086,-98.0669,-98.0511,,,106.4,286.4,,,1,,,,,,,
CJA3,2300,100,GRS,17,35,49.2167,49.2106,-98.065,-98.0647,,,178.3,358.3,,,0,,,,,,,
CJB3,3000,75,ASP,14,32,49.5528,49.5458,-96.6822,-96.6761,,,150,330,,,1,,,,,,,
CJB8,3000,75,ASP,08,26,50.8334,50.8333,-108.076,-108.064,,,91,271,,,1,,,,,,,
CJC5,3340,40,GRE,02,20,49.6553,49.6624,-108.408,-108.401,,,30.3,210.3,,,0,,,,,,,
CJC5,3000,75,ASP,12,30,49.6608,49.655,-108.411,-108.402,3020,3028,134,314,,,1,,,,,,,
CJD5,3000,75,ASP,09,27,50.8785,50.876,-109.507,-109.494,,,108,288,,,1,,,,,,,
CJE3,3000,75,ASP,06,24,49.6989,49.7014,-103.806,-103.794,1922,1934,72.3,252.3,,,0,,,,,,,
CJE3,4000,75,ASP,12,30,49.701,49.6936,-103.808,-103.795,1925,1926,132.4,312.4,,,1,,,,,,,
CJJ4,3980,75,ASP,08,26,49.1508,49.1508,-100.507,-100.49,1672,1684,90,270,,,1,,,,,,,
CJJ4,2218,100,GRS,17,35,49.1572,49.1511,-100.499,-100.499,,,178,358,,,1,,,,,,,
CJJ8,3000,75,ASP,11,29,52.345,52.3406,-109.924,-109.913,,,123,303,,,1,,,,,,,
CJK4,3000,75,ASP,08,26,50.6425,50.6428,-102.112,-102.099,,,88,268,,,1,,,,,,,
CJL6,2000,80,GRS,08,26,49.0953,49.0953,-97.5433,-97.535,,,90,270,,,0,,,,,,,
CJL6,3248,75,ASP,17,35,49.0986,49.0897,-97.5339,-97.5339,,,180,360,,138,1,,,,,,,
CJM5,3625,60,ASP,07,25,49.1666,49.1668,-108.574,-108.559,,,89,269,,,1,,,,,,,
CJQ3,3150,75,ASP,10,28,49.6456,49.6424,-102.292,-102.28,2074,2070,112,292,,,1,,,,,,,
CJQ4,3100,75,ASP,05,23,49.8944,49.8969,-109.481,-109.469,,,73,253,,,1,,,,,,,
CJQ4,1565,75,GRE,17,35,49.8975,49.8931,-109.475,-109.476,,,185,5,,,0,,,,,,,
CJQ6,3700,120,GVL,03T,21T,81.4049,81.414,-76.8959,-76.8674,,,25,205,,,0,,,,,,,
CJR2,3000,75,ASP,11,29,52.0719,52.0675,-109.38,-109.368,,,122,302,,,1,,,,,,,
CJR4,3000,75,ASP,11,29,51.1464,51.1419,-108.768,-108.757,,,122,302,,,1,,,,,,,
CJR4,1950,50,GVL,16,34,51.1467,51.1414,-108.768,-108.767,,,180.4,.4,,,0,,,,,,,
CJV5,3510,75,ASP,04,22,50.2297,50.2358,-99.5164,-99.5047,,,50.8,230.8,,,1,,,,,,,
CJW5,1900,75,GRS,14,32,50.7706,50.7661,-101.296,-101.292,,,148,328,,,0,,,,,,,
CJW5,3400,75,ASP,17,35,50.7705,50.7612,-101.296,-101.294,,,174.4,354.4,,,1,,,,,,,
CJX5,2200,80,GRS,08,26,49.6297,49.63,-100.208,-100.197,,,87.5,267.5,,,0,,,,,,,
CJX5,2900,100,ASP,14,32,49.6367,49.6297,-100.203,-100.197,,,149.2,329.2,,,1,,,,,,,
CJY3,2200,160,GRS,08,26,52.835,52.835,-104.073,-104.066,,,90,270,,,0,,,,,,,
CJY3,3000,75,ASP,14,32,52.8397,52.8333,-104.071,-104.062,1516,1514,143,323,,,1,,,,,,,
CJY3,2100,200,GRS,17,35,52.8408,52.835,-104.073,-104.073,,,180,360,,,0,,,,,,,
CJZ3,3000,75,ASP,08,26,52.8667,52.8667,-104.707,-104.693,1495,1495,90,270,,,1,,,,,,,
CKB7,3510,75,ASP,13,31,51.2382,51.2307,-101.397,-101.388,,,140,320,,,1,,,,,,,
CKD5,3000,75,ASP,09,27,50.1,50.0978,-102.613,-102.6,,,105,285,,,1,,,,,,,
CKE8,1065,60,GRE,02,20,52.4428,52.445,-109.185,-109.182,,,37,217,,,0,,,,,,,
CKE8,3000,75,ASP,11,29,52.4522,52.4475,-109.189,-109.179,,,126,306,,,1,,,,,,,
CKH2,3950,100,ASP,12,30,50.4678,50.4597,-101.564,-101.553,,,139,319,,,1,,,,,,,
CKL5,3289,75,ASP,10,28,50.4586,50.4558,-100.615,-100.602,,,108,288,,,1,,,,,,,
CKQ5,3012,75,ASP,08,26,50.9942,50.9942,-107.138,-107.124,,,90,270,,,1,,,,,,,
CKQ6,3000,75,ASP,09,27,50.4997,50.4989,-99.9042,-99.8911,,,96,276,,,1,,,,,,,
CLM2,3832,50,ASP,01,19,42.0198,42.0302,-82.5257,-82.5243,576,576,3,183,1179,949,1,,,,,,,
CNA3,2100,100,COP,07,25,44.4083,44.4114,-79.7306,-79.7236,961,951,58,238,100,200,1,,,,,,,
CNC3,2500,75,COP,08,26,43.7581,43.7603,-79.8794,-79.8706,926,915,71,251,190,,1,,,,,,,
CNC3,3500,75,COP,15,33,43.7642,43.7567,-79.8778,-79.8694,935,909,141,321,,,1,,,,,,,
CNE4,2555,100,GRS,07,25,48.7389,48.7425,-80.7964,-80.7872,994,1006,59.2,239.2,,,0,,,,,,,
CNE4,3999,100,ASP,14,32,48.7428,48.7358,-80.8003,-80.7872,995,1002,129,309,,,1,,,,,,,
CNE4,2930,100,GRS,18,36,48.7464,48.7386,-80.7958,-80.7933,1002,996,168,348,,,0,,,,,,,
CNF4,2642,75,GRS,02,20,44.3597,44.3669,-78.7806,-78.7789,882,882,9,189,360,,0,,,,,,,
CNF4,3500,75,ASP,13,31,44.3664,44.3617,-78.7892,-78.7775,882,882,119,299,,,1,,,,,,,
CNK4,4000,75,ASP,17,35,45.2619,45.2517,-79.8322,-79.8264,818,831,158.1,338.1,,,1,,,,,,,
CNL3,4500,90,ASP,04,22,44.6341,44.6448,-75.7545,-75.7458,393,393,30,210,,,1,,,,,,,
CNL3,2207,75,GRS,16,34,44.6425,44.6375,-75.7511,-75.7464,398,396,146,326,,,0,,,,,,,
CNP3,3955,75,ASP,10,28,45.4089,45.4097,-76.3728,-76.3575,353,345,85.6,265.6,,,1,,,,,,,
CNP3,2500,50,GVL,16,34,45.4153,45.4094,-76.3681,-76.3628,348,349,146.3,326.3,,,0,,,,,,,
CNQ3,3500,100,ASP,05,23,42.9753,42.9828,-79.3283,-79.3197,582,585,40.1,220.1,,,1,,,,,,,
CNQ3,2570,50,ASP,16,34,42.9797,42.9744,-79.3239,-79.3178,584,579,139.6,319.6,,,0,,,,,,,
CNQ4,5502,100,ASP,08,26,42.9222,42.9275,-80.7567,-80.7436,894,878,66,246,,,1,,,,,,,
CNQ4,2258,75,TURF,14,32,42.9303,42.9256,-80.75,-80.7431,,,131,311,300,100,,,,,,,,
CNR4,3180,60,ASP,12,30,45.2347,45.2322,-81.6392,-81.6275,,,107.3,287.3,,450,1,,,,,,,
CNS7,2087,50,ASP,05,23,44.2006,44.2047,-81.6031,-81.5978,766,772,42.3,222.3,,,1,,,,,,,
CNS7,4085,75,ASP,13,31,44.2044,44.1986,-81.6133,-81.6,768,768,121,301,,,1,,,,,,,
CNY3,2450,75,GRS,01,19,44.4447,44.4517,-80.1647,-80.1633,727,713,8,188,,,0,,,,,,,
CNY3,5000,100,ASP,13,31,44.4508,44.4439,-80.1672,-80.1506,718,730,120,300,,,1,,,,,,,
CNZ8,2870,75,GVL,04,22,43.1567,43.1633,-79.6019,-79.5964,637,630,31,211,,,1,,,,,,,
CPE4,3745,45,ASP,17,35,43.4475,43.4378,-80.2344,-80.2297,,,160.5,340.5,700,565,1,,,,,,,
CPL5,3100,60,ASP,08,26,46.3153,46.3178,-83.5389,-83.5272,,,73,253,,100,1,,,,,,,
CPN4,4000,75,ASP,01,19,44.1528,44.1639,-81.0628,-81.0628,909,935,360,180,,,1,,,,,,,
CPN4,2500,50,ASP,09,27,44.1578,44.1589,-81.0675,-81.0581,920,915,80.7,260.7,330,120,0,,,,,,,
CPR7,4000,75,ASP,13,31,43.8708,43.8653,-81.3047,-81.2919,1056,1062,121,301,,,1,,,,,,,
CPT2,3500,75,ASP,06,24,45.9744,45.9806,-81.5,-81.4894,,,50,230,,,1,,,,,,,
CPU6,4270,150,ASP,09,27,44.1814,44.1839,-77.1175,-77.1017,,,77.5,257.5,390,,1,,,,,,,
CPU6,2575,150,ASP,15,33,44.1872,44.1819,-77.11,-77.1033,,,137,317,150,,0,,,,,,,
CSC3,4000,75,ASP,06,24,45.8414,45.8492,-72.4,-72.3894,365,353,43.5,223.5,,,1,,,,,,,
CSD4,4000,75,ASP,08,26,46.5671,46.5717,-75.5691,-75.5546,815,809,65.2,245.2,200,,1,,,,,,,
CSE4,3989,100,ASP,10,28,45.6397,45.6381,-74.3775,-74.3619,221,210,98.7,278.7,895,210,1,,,,,,,
CSE5,3000,75,ASP,08,26,46.9994,47.0033,-70.5211,-70.5106,,,62,242,,,1,,,,,,,
CSG3,3250,75,ASP,15,33,46.0478,46.0417,-73.5061,-73.4969,,,133.9,313.9,,,1,,,,,,,
CSG5,3100,30,ASP,02,20,46.681,46.6895,-71.1519,-71.1514,,,2.5,182.5,300,,0,,,,,,,
CSH4,3712,100,ASP,15,33,49.0339,49.0265,-77.0224,-77.0118,960,946,136.5,316.5,,,1,,,,,,,
CSJ4,3000,75,ASP,09,27,46.2489,46.2511,-72.9222,-72.9111,,,72.4,252.4,,,0,,,,,,,
CSK3,3000,75,ASP,11,29,45.7189,45.7181,-73.6039,-73.5919,,,95.7,275.7,,,1,,,,,,,
CSL3,3000,40,ASP,03,21,46.6189,46.6267,-72.6333,-72.6306,,,13.8,193.8,,,0,,,,,,,
CSL3,2000,40,ASP,16,34,46.6231,46.6186,-72.6339,-72.6292,427,427,143.9,323.9,,,0,,,,,,,
CSM3,4500,100,ASP,06,24,46.0472,46.0561,-71.2633,-71.2511,1407,1384,43.7,223.7,,,1,,,,,,,
CSQ3,3750,40,COP,05,23,45.4767,45.4853,-72.3144,-72.3064,,,33,213,365,110,1,,,,,,,
CSR3,4000,75,ASP,06,24,46.1089,46.1167,-71.9344,-71.9233,470,486,44.8,224.8,,,1,,,,,,,
CSR8,4700,100,ASP,18,36,48.9233,48.9111,-79.1814,-79.1758,1048,1045,163.3,343.3,,,1,,,,,,,
CSS3,3000,75,ASP,07,25,45.3452,45.3498,-74.0815,-74.0719,,,55.6,235.6,,,1,,,,,,,
CSU3,3800,75,COP,02,20,45.6,45.6103,-73.0147,-73.0136,,,4.3,184.3,420,,1,,,,,,,
CSY3,4000,75,ASP,03,21,45.9747,45.9856,-73.0442,-73.0406,,,13.1,193.1,,,1,,,,,,,
CTA4,4489,100,ASP,10,28,47.4493,47.4493,-79.4271,-79.4089,772,820,90,270,,,1,,,,,,,
CTG3,4000,100,ASP,09,27,48.381,48.3856,-64.5719,-64.557,63,82,65.2,245.2,,,1,,,,,,,
CTT5,3938,100,ASP,12,30,50.2599,50.2593,-60.6824,-60.6656,90,90,93.2,273.2,,,1,,,,,,,
CYAG,2600,75,ASP,03,21,48.6528,48.6586,-93.4453,-93.4392,1120,1125,34.8,214.8,,,1,,,,,,,
CYAG,4500,100,ASP,12,30,48.658,48.6508,-93.4481,-93.433,1123,1119,126,306,,,1,,,,,,,
CYAU,3937,75,ASP,07,25,44.2271,44.2335,-64.8622,-64.85,317,314,53.9,233.9,,,1,,,,,,,
CYAV,2850,75,ASP,04,22,50.0508,50.0561,-97.0356,-97.0269,758,760,46,226,,,1,,,,,,,
CYAV,3000,75,ASP,13,31,50.0614,50.0558,-97.0356,-97.0261,757,760,132,312,,,1,,,,,,,
CYAV,3000,75,ASP,18,36,50.0614,50.0535,-97.0368,-97.0389,755,758,190,10,,,1,,,,,,,
CYAX,3600,75,ASP,18,36,50.2992,50.2892,-96.0092,-96.0103,,,185,5,,,1,,,,,,,
CYAY,4000,100,ASP,10,28,51.3909,51.3929,-56.0918,-56.0745,108,88,80,260,,,1,,,,,,,
