0520,44.448507,-78.910104,small_airport,Lorneville Airstrip,,,,,,,,,,,,,,,,,
0521,44.23,81.0266666667,small_airport,Mount Forest Roths' Field,,,,,,,,,,,,,,,,,
0522,.00154495239239,-.021800994873,small_airport,roths field,,,,,,,,,,,,,,,,,
0523,43.9785487888,-80.7770633698,small_airport,roths field,,,,,1350,,,,,,,,,,,,
CAA2,45.7463888889,-75.0758333333,small_airport,St. Andre-Avellin,,,,,550,,,,,,,,,,,,
CAA5,49.9832992553711,-126.849998474121,seaplane_base,Zeballos Seaplane Base,,,,,,,,,,,,,,,,,
CAA6,54.7750015258789,-127.13500213623,heliport,Smithers (Canadian) Heliport,,,,,1600,,,,,,,,,,,,
CAA7,50.7667007446289,-126.483001708984,seaplane_base,Gilford Island/Echo Bay Seaplane Base,,,,,,,,,,,,,,,,,
CAA8,50.5167007446289,-116,small_airport,Invermere Airport,,,,,2820,,,,,,,,,,,,
CAA9,49.2891524507,-124.937746525,seaplane_base,Port Alberni/Sproat Lake Seaplane Base,,,,,95,,,,,,,,,,,,
CAB3,48.75,-123.233001709,seaplane_base,Bedwell Harbour Seaplane Base,,,,,,,,,,,,,,,,,
CAB4,49.1500015258789,-125.900001525879,seaplane_base,Tofino Harbour Seaplane Base,,,,,,,,,,,,,,,,,
CAB5,49.0361500085,-122.314048558,heliport,Abbotsford (Regional Hospital & Cancer Centre) Heliport,,,,,287,,,,,,,,,,,,
CAB7,49.8653839897,-119.568818361,heliport,Kelowna (Alpine) Heliport,,,,,1640,,,,,,,,,,,,
CAC3,55.4667015075684,-129.483001708984,seaplane_base,Alice Arm/Silver City Seaplane Base,,,,,,,,,,,,,,,,,
CAC5,52.11669921875,-122.099998474121,seaplane_base,Williams Lake Seaplane Base,,,,,1859,,,,,,,,,,,,
CAC6,51.0758262465,-114.14770782,heliport,Calgary (Alberta Children's Hospital),,,,,3670,,,,,,,,,,,,
CAC9,55.9166984558105,-130,seaplane_base,Stewart Seaplane Base,,,,,,,,,,,,,,,,,
CAD5,50.1227989196777,-120.747001647949,small_airport,Merritt Airport,,,,,2080,,,,,,,,,,,,
CAD6,59.5666999816895,-133.716995239258,seaplane_base,Atlin Seaplane Base,,,,,2190,,,,,,,,,,,,
CAD7,50.7000007629395,-126.599998474121,seaplane_base,Gilford Island/Health Bay Seaplane Base,,,,,,,,,,,,,,,,,
CAD8,49.5,-117.300003051758,seaplane_base,Nelson Seaplane Base,,,,,1740,,,,,,,,,,,,
CAE2,49.5125007629395,-115.75,heliport,Cranbrook (East Kootenay Regional Hospital) Heliport,,,,,3050,,,,,,,,,,,,
CAE3,50.0499992370605,-125.25,seaplane_base,Campbell River Seaplane Base,,,,,,,,,,,,,,,,,
CAE4,53.0167007446289,-124.833000183105,small_airport,Tsacha Lake Airport,,,,,3450,,,,,,,,,,,,
CAE7,49.3048530057,-121.785936356,seaplane_base,Harrison Hot Springs Seaplane Base,,,,,34,,,,,,,,,,,,
CAE9,48.8333015442,-125.133003235,seaplane_base,Bamfield Seaplane Base,,,,,0,,,,,,,,,,,,
CAF4,51.5332984924316,-124.166999816895,small_airport,Tsuniah Lake Lodge Airport,,,,,4000,,,,,,,,,,,,
CAF6,50.4000015258789,-125.133003234863,seaplane_base,Big Bay Seaplane Base,,,,,,,,,,,,,,,,,
CAF8,52.3333015441895,-125.150001525879,seaplane_base,Nimpo Lake Seaplane Base,,,,,3665,,,,,,,,,,,,
CAG2,50.5977310536,-104.601312876,small_airport,Regina / Aerogate,,,,,1980,,,,,,,,,,,,
CAG3,51.6260986328125,-124.141998291016,small_airport,Chilko Lake (Tsylos Park Lodge) Airport,,,,,3850,,,,,,,,,,,,
CAG6,50.4166984558105,-125.5,seaplane_base,Blind Channel Seaplane Base,,,,,,,,,,,,,,,,,
CAG8,49.6166992188,-124.016998291,seaplane_base,Pender Harbour Seaplane Base,,,,,,,,,,,,,,,,,
CAG9,50.2167015075684,-125.116996765137,seaplane_base,Surge Narrows Seaplane Base,,,,,,,,,,,,,,,,,
CAH2,52.3666992188,-127.717002869,seaplane_base,Ocean Falls Seaplane Base,,,,,0,,,,,,,,,,,,
CAH3,49.6794013977051,-124.982002258301,small_airport,Courtenay Airpark,,,,,9,,,,,,,,,,,,
CAH4,52.8532981872559,-119.333999633789,small_airport,Valemount Airport,,,,,2615,,,,,,,,,,,,
CAH7,50.7000007629395,-120.432998657227,seaplane_base,Kamloops Seaplane Base,,,,,1129,,,,,,,,,,,,
CAH8,49.4500007629395,-119.599998474121,seaplane_base,Penticton Seaplane Base,,,,,1108,,,,,,,,,,,,
CAH9,57.9000015258789,-131.182998657227,seaplane_base,Telegraph Creek Seaplane Base,,,,,,,,,,,,,,,,,
CAJ2,66.491096496582,-136.572998046875,small_airport,Wiley Airport,,,,,2365,,,,,,,,,,,,
CAJ3,49.0368995666504,-116.498001098633,small_airport,Art Sutcliffe Field,,,,,2070,,,,,,,,,,,,
CAJ7,50.4500007629395,-113.75,small_airport,Cayley A J Flying Ranch Airport,,,,,3450,,,,,,,,,,,,
CAJ8,49.2098579406738,-122.709045410156,seaplane_base,Pitt Meadows Seaplane Base,,,,,6,,,,,,,,,,,,
CAJ9,57.4272003173828,-125.650001525879,small_airport,Fort Ware Airport,,,,,2450,,,,,,,,,,,,
CAK3,49.0774002075195,-122.94100189209,small_airport,Delta Heritage Air Park,,,,,10,,,,,,,,,,,,
CAK6,50.4500007629395,-125.467002868652,seaplane_base,Camp Cordero Seaplane Base,,,,,,,,,,,,,,,,,
CAK7,49.2438419064,-123.127095848,heliport,Vancouver (Children & Women's Health Centre) Heliport,,,,,225,,,,,,,,,,,,
CAK8,55.9791984558105,-123.777000427246,seaplane_base,Finlay Bay Seaplane Base,,,,,2205,,,,,,,,,,,,
CAL3,50.1654600485,-120.171273351,small_airport,Douglas Lake Airport,,,,,2770,,,,,,,,,,,,
